zoo_name,city,state,address,latitude,longitude,num_animals,acres,hour_open,hour_close,annual_visitors,website,
Abilene Zoo,Abilene,TX,2070 Zoo Lane,32.439205,-99.690934,1100,13,9:00,17:00,175000,http://abilenezoo.org/,
African Safari Wildlife Park,Port Clinton,OH,267 S Lightner Road,41.519513,-82.848223,300,100,10:00,17:00,150000,http://www.africansafariwildlifepark.com/index.cfm,
Akron Zoo,Akron,OH,500 Edgewood Ave,41.078857,-81.54152,700,50,10:00,17:00,1000000,https://www.akronzoo.org/,
Albuquerque Biological Park- Rio Grande Zoo,Albuquerque,NM,903 10th St SW,35.077359,-106.660599,900,64,9:00,17:00,1300000,https://www.cabq.gov/culturalservices/biopark/zoo,
Alexandria Zoo,Alexandria,LA,3016 Masonic Dr.,31.288192,-92.457687,500,33,9:00,17:00,190000,http://www.thealexandriazoo.com/,
Arizona Sonora Desert Museum,Tucson,AZ,2021 N Kinney Rd. ,32.244022,-111.168163,12370,98,7:30,17:00,400000,http://www.desertmuseum.org/,
Audubon Zoo,New Orleans,LA,6500 Magazine St. ,29.922655,-90.130334,2000,58,10:00,16:00,860000,http://audubonnatureinstitute.org/zoo,
Bergen County Zoo,Paramus,NJ,216 Forest Ave,40.934628,-74.04827,,23,10:00,16:30,,http://www.co.bergen.nj.us/index.aspx?NID=437,
Binder Park Zoo,Battle Creek,MI,7400 Division Dr. ,42.245549,-85.1534,600,433,9:00,17:00,,http://www.binderparkzoo.org/,
Birmingham Zoo,Birmingham,AL,2630 Cahaba Rd.,33.485991,-86.779574,800,122,9:00,17:00,500000,https://www.birminghamzoo.com/,
Blank Park Zoo,Des Moines,IA,7401 SW 9th St.,41.520118,-93.624485,1484,25,9:00,17:00,,http://www.blankparkzoo.com/,
Boonshoft Museum of Discovery,Dayton,OH,2600 Deweese Pkwy,39.788811,-84.203324,,93990,9:00,17:00,365000,http://www.boonshoftmuseum.org/,
Bramble Park Zoo,Watertown,SD,800 10th St NW,44.909225,-97.130553,500,15,10:00,16:00,60000,http://www.brambleparkzoo.com/,
Brandywine Zoo,Wilmington,DE,1001 N Park Dr.,39.755823,-75.549161,150,12,10:00,16:00,80000,http://www.brandywinezoo.org/,
BREC's Baton Rouge Zoo,Baton Rouge,LA,3601 Thomas Rd,30.562341,-91.159861,1900,125,9:30,16:00,255000,http://www.brzoo.org/,
